Account,date,sentiment_binary,classification,value,total_pnl,num_trades,num_winning,num_losing,avg_trade_size,total_volume,avg_execution_price,num_buys,num_sells,total_fees,max_pnl,min_pnl,win_rate,long_short_ratio,net_pnl,is_profitable,pnl_range
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,Greed,Extreme Greed,76.0,0.0,177,0,0,5089.718248587571,900880.13,3204.4610169491525,0,177,167.796055,0.0,0.0,0.0,0.0,-167.796055,0,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,Greed,Extreme Greed,90.0,0.0,68,0,0,7976.664411764705,542413.1799999999,653.3651470588236,0,68,67.883615,0.0,0.0,0.0,0.0,-67.883615,0,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,Greed,Extreme Greed,83.0,0.0,40,0,0,23734.5,949380.0,3164.6,0,40,94.93798300000002,0.0,0.0,0.0,0.0,-94.93798300000002,0,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,Greed,Extreme Greed,94.0,-21227.0,12,0,12,28186.666666666668,338240.0,3382.4,12,0,33.823995,-29.420622,-4948.586829,0.0,120000000000.0,-21260.823995,0,4919.166207
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,Greed,Extreme Greed,79.0,1603.1,27,12,0,17248.14814814815,465700.0,232.92111111111112,12,15,104.62249,883.756968,0.0,0.4444444444444444,0.7999999999946666,1498.47751,1,883.756968
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-28,Greed,Extreme Greed,77.0,-132271.0,82,0,82,16058.536341463414,1316799.98,2691.5565853658536,82,0,131.679967,-27.456691,-10259.468,0.0,820000000000.0,-132402.679967,0,10232.011309000001
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,Greed,Extreme Greed,84.0,0.0,23,0,0,48561.68565217392,1116918.77,3723.0173913043477,0,23,390.921553,0.0,0.0,0.0,0.0,-390.921553,0,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,Greed,Greed,72.0,-175611.00005600002,33,0,33,36736.36242424243,1212299.96,4041.0,33,0,121.229992,-1.75611,-117990.1041,0.0,330000000000.0,-175732.23004800003,0,117988.34799
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,Greed,Extreme Greed,77.0,71393.964098,465,23,89,11410.954021505377,5306093.62,741.0627956989248,112,353,780.33644,15993.72491,-42.86425,0.04946236559139785,0.3172804532577005,70613.627658,1,16036.589160000001
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,Greed,Extreme Greed,76.0,40218.599998,51,28,0,9400.588039215687,479429.99,239.15470588235294,28,23,23.971493,11322.34027,0.0,0.5490196078431373,1.217391304342533,40194.628505,1,11322.34027
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,Greed,Greed,60.0,76710.0,10,9,0,185847.0,1858470.0,3091.9700000000003,9,1,92.923496,34903.8171,0.0,0.9,8.9999999991,76617.076504,1,34903.8171
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-03,Fear,Fear,44.0,101011.685664,839,256,115,23593.019856972587,19794543.66,2699.603241954708,350,489,2355.038296,25652.2897,-19841.24014,0.30512514898688914,0.7157464212677473,98656.647368,1,45493.52984
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-04,Greed,Greed,72.0,375620.270243,531,83,28,10576.687156308852,5616220.88,1470.9998116760828,111,420,704.19937,71535.71674,-5149.876128,0.15630885122410546,0.26428571428565134,374916.070873,1,76685.592868
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-05,Neutral,Neutral,54.0,44400.9058,210,78,0,26585.06338095238,5582863.31,2727.8599999999997,78,132,700.101577,10922.04212,0.0,0.37142857142857144,0.5909090909086433,43700.804223,1,10922.04212
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-09,Neutral,Neutral,46.0,30897.0887,141,132,0,10161.056241134751,1432708.93,2668.6843971631206,132,9,0.0,3740.160312,0.0,0.9361702127659575,14.666666666503703,30897.0887,1,3740.160312
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-10,Fear,Fear,43.0,55086.0,48,16,0,32032.5,1537560.0,2563.133333333333,16,32,0.0,23909.89468,0.0,0.3333333333333333,0.49999999999843747,55086.0,1,23909.89468
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-11,Neutral,Neutral,47.0,0.0,6,0,0,134600.00166666668,807600.01,2692.0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-24,Neutral,Neutral,49.0,10152.12224,59,31,0,27178.041694915253,1603504.46,2672.2118644067796,31,28,561.226533,1663.751202,0.0,0.5254237288135594,1.107142857138903,9590.895707,1,1663.751202
